,next_turn,move_count,last_move_player,last_move_position,line_counts_competitor_4,line_counts_competitor_5,line_counts_player_4,line_counts_player_5,next_move
0,1,1,0,54,0,0,0,0,0
0,1,2,1,44,0,0,0,0,0
0,0,3,0,50,0,0,0,0,0
0,0,4,1,55,0,0,0,0,0
0,1,5,0,45,0,0,0,0,0
0,1,6,1,63,0,0,0,0,0
0,0,7,0,36,0,0,0,0,0
0,0,8,1,65,0,0,0,0,1
0,1,9,0,35,1,0,1,0,0
0,1,10,1,66,1,0,1,0,0
0,0,11,0,58,0,0,1,0,0
0,0,12,1,19,0,0,1,0,1
0,1,13,0,25,0,1,0,1,2
0,1,14,1,15,0,1,0,1,0
0,0,15,0,0,0,0,0,1,1
0,1,1,0,45,0,0,0,0,0
0,1,2,1,64,0,0,0,0,0
0,0,3,0,54,0,0,0,0,0
0,0,4,1,44,0,0,0,0,0
0,1,5,0,51,0,0,0,0,0
0,1,6,1,83,0,0,0,0,0
0,0,7,0,43,0,0,0,0,0
0,0,8,1,55,0,0,0,0,0
0,1,9,0,7,0,0,0,0,0
0,1,10,1,65,0,0,0,0,1
0,0,11,0,76,1,0,0,0,2
0,0,12,1,32,1,0,0,0,0
0,1,13,0,80,0,0,0,0,0
0,1,14,1,12,0,0,0,0,0
0,0,15,0,96,1,0,0,0,0
0,0,16,1,66,1,0,0,0,2
0,1,17,0,87,0,0,0,0,0
0,1,18,1,88,0,0,0,0,2
0,0,19,0,33,1,0,0,0,0
0,0,20,1,53,1,0,0,0,0
0,1,21,0,46,0,0,0,0,0
0,1,22,1,48,0,0,0,0,0
0,0,23,0,74,1,0,0,0,2
0,0,24,1,56,1,0,0,0,0
0,1,25,0,68,0,0,0,0,0
0,1,26,1,34,0,0,0,0,0
0,0,27,0,8,1,0,0,0,0
0,0,28,1,35,1,0,0,0,1
0,1,29,0,25,1,0,1,0,2
0,1,30,1,15,1,0,1,0,0
0,0,31,0,67,1,0,1,0,1
0,0,32,1,62,1,0,1,0,1
0,1,1,0,85,0,0,0,0,0
0,1,2,1,45,0,0,0,0,0
0,1,3,0,44,0,0,0,0,0
0,0,4,1,62,0,0,0,0,0
0,0,5,0,55,0,0,0,0,0
0,1,6,1,65,0,0,0,0,2
0,1,7,0,35,0,0,0,0,2
0,0,8,1,75,0,0,0,0,0
0,0,9,0,40,0,0,0,0,0
0,1,10,1,64,0,0,0,0,1
0,1,11,0,53,0,0,0,0,1
0,0,12,1,26,0,1,0,0,0
0,0,13,0,8,0,1,0,0,2
0,1,14,1,17,0,0,0,0,1
0,1,1,0,44,0,0,0,0,0
0,1,2,1,54,0,0,0,0,0
0,0,3,0,78,0,0,0,0,0
0,0,4,1,45,0,0,0,0,0
0,1,5,0,92,0,0,0,0,0
0,1,6,1,55,0,0,0,0,0
0,0,7,0,7,0,0,0,0,0
0,0,8,1,53,0,0,0,0,0
0,1,9,0,56,0,0,0,0,0
0,1,10,1,24,0,0,0,0,0
0,0,11,0,95,0,0,0,0,0
0,0,12,1,46,0,0,0,0,1
0,1,13,0,43,1,0,1,0,2
0,1,14,1,47,1,0,1,0,2
0,0,15,0,42,0,0,1,0,0
0,0,16,1,33,0,0,1,0,1
0,1,17,0,23,1,0,1,0,0
0,1,18,1,17,1,0,1,0,2
0,0,19,0,13,0,0,1,0,1
0,0,20,1,63,0,0,0,1,1
0,1,1,0,55,0,0,0,0,0
0,1,2,1,26,0,0,0,0,0
0,1,3,0,54,0,0,0,0,0
0,0,4,1,17,0,0,0,0,0
0,0,5,0,45,0,0,0,0,0
0,1,6,1,65,0,0,0,0,2
0,1,7,0,35,0,0,0,0,0
0,0,8,1,33,0,0,0,0,1
0,0,9,0,75,0,0,1,0,0
0,1,10,1,41,1,0,1,0,2
0,1,11,0,85,1,0,1,0,0
0,0,12,1,34,0,0,1,0,2
0,0,13,0,36,0,0,1,0,0
0,1,14,1,44,1,0,1,0,1
0,1,15,0,32,1,0,1,0,1
0,0,16,1,31,0,1,1,0,0
0,0,17,0,74,0,1,1,0,2
0,1,18,1,30,1,0,1,0,0
0,1,19,0,46,1,0,1,0,0
0,0,20,1,63,0,1,1,0,0
0,0,21,0,77,0,1,1,0,1
0,1,22,1,76,1,0,1,0,0
0,1,23,0,72,1,0,1,0,0
0,0,24,1,84,0,1,1,0,0
0,0,25,0,51,0,1,1,0,1
0,1,26,1,73,1,1,1,1,2
0,1,27,0,78,1,1,1,1,1
